ts_code,error
000001.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000002.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000063.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000100.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000157.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000166.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000301.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000333.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000338.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000408.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000425.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000538.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000568.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000596.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000617.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000625.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000630.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000651.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000661.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000708.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000725.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000768.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000776.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000792.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000807.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000858.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000876.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000895.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000938.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000963.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000975.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000977.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000983.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000999.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001391.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001979.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002001.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002027.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002028.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002049.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
