simulation_id,type,top_n,stop_loss,max_position,target_vol,annual_return,sharpe,max_drawdown,win_rate,total_return
1,original,48,0.1496347037278974,0.14246936182785627,0.2063374428959916,0.7701487267385803,0.25109343312306226,-0.09729501993241206,0.6933333333333334,45.78020416602871
2,antithetic,12,0.2003652962721026,0.05753063817214374,0.24366255710400841,0.47269670746950865,0.2552463817692884,-0.0783306830728368,0.6666666666666666,11.68445277244244
3,original,38,0.10953375254290355,0.1377339353380981,0.16409729097613035,0.7941165728312438,0.2585733151715447,-0.09729501993241206,0.7866666666666666,53.02127503153589
4,antithetic,22,0.24046624745709644,0.062266064661901904,0.28590270902386966,0.3778017778477307,0.2621327239268965,-0.09303735724908668,0.64,7.09121715650066
5,original,24,0.14664734825734935,0.07579416277151556,0.23674202114942608,0.5074270527166759,0.29631158362856475,-0.06660317924465296,0.76,15.375401840163992
6,antithetic,36,0.20335265174265063,0.12420583722848445,0.21325797885057393,0.6399155728205198,0.23608652045430822,-0.09114184814577492,0.68,24.08899949486659
7,original,17,0.14877749830401207,0.1159984046034179,0.1553913410695113,0.6846300553647672,0.2528978085709974,-0.08339558200125698,0.7066666666666667,31.8813257567367
8,antithetic,43,0.2012225016959879,0.08400159539658211,0.2946086589304887,0.5153973800842936,0.254613925769064,-0.09092479893280278,0.68,14.43999424214233
9,original,30,0.2094409267507096,0.13172222002012157,0.21983970271986902,0.7126740143649095,0.23214821267634114,-0.10521772218093511,0.6266666666666667,32.133957680927324
10,antithetic,30,0.14055907324929037,0.06827777997987844,0.230160297280131,0.4922353561998919,0.3101137896499147,-0.06031679966971769,0.7866666666666666,14.540816325946915
11,original,48,0.19563362070328197,0.10552008115994622,0.23139669520613648,0.5969091146786406,0.24499393557887636,-0.08794111876414096,0.6666666666666666,20.630583758475687
12,antithetic,12,0.154366379296718,0.09447991884005379,0.21860330479386353,0.5916216910486449,0.2695860875625138,-0.08111164002521133,0.7333333333333333,22.030184559425923
13,original,28,0.233081911386449,0.10296505783560064,0.19298118781924264,0.5645710850990333,0.23141264811377227,-0.08794111876414111,0.6666666666666666,16.788540296701967
14,antithetic,32,0.11691808861355099,0.09703494216439937,0.2570188121807574,0.639109671900072,0.29065776777570157,-0.07448130596342435,0.8266666666666667,29.593465938863996
15,original,32,0.1708322387742924,0.07418522909004517,0.2386249890853516,0.484513522064583,0.2826576461525728,-0.07287225488558391,0.68,13.249526013110538
16,antithetic,28,0.17916776122570757,0.12581477090995485,0.21137501091464841,0.7440959887359528,0.24288119549307752,-0.10521772218093513,0.6533333333333333,39.1121033287972
17,original,20,0.11793913689074526,0.05931027678058992,0.1545750374908574,0.47540370529737763,0.33466423689090147,-0.06604519585407585,0.84,13.74546617594029
18,antithetic,40,0.23206086310925472,0.1406897232194101,0.29542496250914263,0.7087259102329679,0.23030260350910872,-0.11122064526932098,0.6,31.169261826774424
19,original,20,0.20698671808344926,0.13972157579533268,0.15560222831238216,0.7083695730223261,0.23087310662855973,-0.10521772218093516,0.6266666666666667,31.34819971378367
20,antithetic,40,0.14301328191655072,0.060278424204667336,0.2943977716876178,0.46801904806070066,0.3270609801490163,-0.09131626766598472,0.8,13.028188360575513
21,original,33,0.21411775729253463,0.14004180571633304,0.2733900840989487,0.7169131418360535,0.23333666561287567,-0.10521772218093539,0.6266666666666667,32.90254047832961
22,antithetic,27,0.13588224270746535,0.05995819428366697,0.1766099159010513,0.4640750512849372,0.3259323657501402,-0.06604519585407574,0.8266666666666667,12.753734153275998
23,original,45,0.18419157963542443,0.1133101457273268,0.20402859621168942,0.6532410077310227,0.24107854916382074,-0.09114184814577472,0.68,26.179045346363374
24,antithetic,15,0.16580842036457555,0.08668985427267321,0.2459714037883106,0.5488740116600267,0.27263246014910986,-0.07796887591739757,0.72,17.998883866566754
25,original,49,0.21564507699318414,0.08390297910487007,0.1690590768977827,0.49273874972677517,0.24400970073563555,-0.07652144009321603,0.6666666666666666,12.512194803691632
26,antithetic,11,0.13435492300681584,0.11609702089512994,0.2809409231022173,0.7172812031732609,0.26402997598236405,-0.0867541985450793,0.7466666666666667,38.78682823319812
27,original,33,0.1740693394546586,0.08492095746126609,0.22833648900822065,0.5431134651585471,0.2697776422867527,-0.07695142441943695,0.72,17.355989823893893
28,antithetic,27,0.17593066054534137,0.11507904253873392,0.22166351099177936,0.6641822934722298,0.2454727437597595,-0.09114184814577479,0.7066666666666667,28.087157305929814
29,original,12,0.1784099244072991,0.12259556788702393,0.2654990329647916,0.6696231547433144,0.24735951334391248,-0.0917238591804521,0.7066666666666667,29.010587275624555
30,antithetic,48,0.17159007559270087,0.07740443211297608,0.1845009670352084,0.5018275459502111,0.2721193126796307,-0.06855837892402787,0.7066666666666667,14.18271720163695
31,original,31,0.16413115275378246,0.1397110259952577,0.18237315412452648,0.7494650492987573,0.2449271184589641,-0.10001165998809529,0.68,40.527998302494524
32,antithetic,29,0.18586884724621752,0.06028897400474231,0.26762684587547353,0.4226857405920362,0.29527460047151377,-0.09155561196233032,0.7333333333333333,9.664237451615282
33,original,11,0.10381286901161428,0.13870864242651174,0.24343357137285002,0.8106239713857213,0.26402450810684064,-0.0972950199324122,0.8133333333333334,58.55719277144005
34,antithetic,49,0.24618713098838568,0.061291357573488275,0.20656642862715,0.36966951705521056,0.2595798518796973,-0.07364876562917799,0.64,6.751164813862945
35,original,33,0.11618371404899568,0.1279875545857624,0.1628021197490652,0.7901462517074738,0.25717441695186194,-0.09729501993241209,0.7866666666666666,51.72204380580202
36,antithetic,27,0.2338162859510043,0.07201244541423762,0.28719788025093484,0.4263269701900685,0.24642637178763413,-0.08406126458589672,0.6133333333333333,8.949833636069618
37,original,39,0.10471437785301015,0.11420316461542877,0.15775225817529115,0.7220011236712806,0.26678879510514836,-0.08339558200125695,0.8133333333333334,40.227652857890625
38,antithetic,21,0.24528562214698985,0.08579683538457124,0.29224774182470886,0.4846307898673653,0.23877174857081457,-0.08979762636494348,0.64,11.789618755250574
39,original,47,0.19546156168956705,0.058413996499504885,0.2297031947352222,0.39568851508229086,0.29238841527690124,-0.07601736569156585,0.7066666666666667,8.25484980495872
40,antithetic,13,0.15453843831043293,0.14158600350049513,0.22029680526477782,0.7607993977940424,0.2482114802290932,-0.10001165998809528,0.6933333333333334,43.279905432401804
41,original,11,0.147153397161449,0.06616287140946138,0.23109526824151597,0.5691890717020675,0.28291988951851743,-0.07089398425707093,0.7733333333333333,20.490963891358835
42,antithetic,49,0.20284660283855097,0.13383712859053865,0.21890473175848404,0.7183120876751596,0.23401384228281372,-0.10521772218093509,0.6266666666666667,33.26813651767991
43,original,30,0.17628560367470542,0.1398554188527079,0.24561448522473098,0.7488959838857994,0.24439218989608885,-0.10521772218093517,0.6533333333333333,40.238766749106304
44,antithetic,30,0.17371439632529456,0.0601445811472921,0.20438551477526903,0.43192667836922766,0.3037412613771044,-0.0744211996179703,0.7466666666666667,10.322836486086201
45,original,42,0.23613497108891396,0.110642905965959,0.2589137000583992,0.5703304319421534,0.2334451031766241,-0.0930859188346104,0.6666666666666666,17.367927329778194
46,antithetic,18,0.11386502891108602,0.08935709403404102,0.1910862999416008,0.5914377037625778,0.29393439209004213,-0.06704405451030485,0.8133333333333334,23.599993498839456
47,original,21,0.13739383437233124,0.05091970516166297,0.2963778119193802,0.4361543999649887,0.3502957518235617,-0.07958537973054765,0.76,11.153119939738842
48,antithetic,39,0.21260616562766874,0.14908029483833704,0.15362218808061984,0.8130028077562742,0.2283297668244812,-0.0585591007192796,0.6533333333333333,47.55515790174853
49,original,31,0.16155743845534445,0.060147154286603215,0.22744505224517927,0.44246023940858376,0.3103448899194389,-0.07921670003013317,0.7466666666666667,11.04992026634672
50,antithetic,29,0.18844256154465552,0.1398528457133968,0.22255494775482074,0.7309587924208972,0.2380839892488359,-0.10521772218093527,0.64,35.91947361031614
51,original,34,0.2133326707814573,0.11635017691080558,0.1984434709411869,0.632561571535347,0.23333754040049132,-0.09114184814577486,0.68,23.007985233228027
52,antithetic,26,0.1366673292185427,0.08364982308919443,0.2515565290588131,0.5813470348581657,0.2879441503728966,-0.0715664027856378,0.7733333333333333,22.067093127813063
53,original,36,0.13431972482374338,0.05050615838462187,0.2692779292153055,0.43842982293813026,0.3539486758520303,-0.07523847971537707,0.76,11.3482796520742
54,antithetic,24,0.2156802751762566,0.14949384161537815,0.1807220707846945,0.8106582698174771,0.22758838801758513,-0.05855910071927965,0.6533333333333333,46.83198794910378
55,original,37,0.11154698647431896,0.06608080514174987,0.19062483768931113,0.49138850189489464,0.327518816767936,-0.07197835863915099,0.84,14.875072639029154
56,antithetic,23,0.23845301352568102,0.13391919485825016,0.2593751623106889,0.7005109567405359,0.22761476616551196,-0.11121085975479102,0.5866666666666667,29.63806956300731
57,original,25,0.14346271793706522,0.10487337893665861,0.2158457131058454,0.6461372391447614,0.26627802113150284,-0.08004734985548233,0.7466666666666667,28.234261869287625
58,antithetic,35,0.20653728206293476,0.0951266210633414,0.2341542868941546,0.5447701853163296,0.24713129772668363,-0.08483960113180532,0.6666666666666666,16.28929762558917
59,original,24,0.12418319308810066,0.11918951976926932,0.1617684572013399,0.7088976803771365,0.2614230215097897,-0.08339558200125703,0.7866666666666666,37.00630278587691
60,antithetic,36,0.22581680691189931,0.08081048023073069,0.28823154279866015,0.45300749125570894,0.24362238806397427,-0.08745083493777388,0.6266666666666667,10.217972313777718
61,original,12,0.23945464785138595,0.11519612595026005,0.1538026115123186,0.6109244300318508,0.22505547613168506,-0.09686244011401902,0.6666666666666666,20.04710266787619
62,antithetic,48,0.11054535214861402,0.08480387404973996,0.2961973884876814,0.6084407770835896,0.30153721688403845,-0.0778159517021745,0.8133333333333334,26.13866781544254
63,original,46,0.22121805693466254,0.07242693094605598,0.29439726220168877,0.4344132917618661,0.25096843725475393,-0.08508035251917773,0.6133333333333333,9.445334370146663
64,antithetic,14,0.12878194306533744,0.12757306905394403,0.15560273779831124,0.7848854998222887,0.2553115020413683,-0.09729501993241198,0.76,50.04204818388607
65,original,16,0.1950105634765635,0.12121792213475359,0.27539701807683087,0.6539154699432949,0.24091118379897355,-0.09299012318248057,0.68,26.193823817174355
66,antithetic,44,0.15498943652343647,0.07878207786524642,0.17460298192316914,0.5123723505757053,0.2778968953921918,-0.06539562849273509,0.72,15.184274543302198
67,original,30,0.23071908852815765,0.07372490874968,0.25439613091405466,0.4260961537837643,0.2469638994961176,-0.0765252035832835,0.6133333333333333,8.95849131689221
68,antithetic,30,0.11928091147184233,0.12627509125032,0.19560386908594535,0.7940421799271112,0.2584020707615276,-0.09729501993241209,0.7866666666666666,52.92000890366936
69,original,18,0.22055081153486716,0.08253996981592678,0.2113429416621405,0.45201225438934467,0.2438765988512407,-0.06898964524306801,0.64,10.188616818973248
70,antithetic,42,0.12944918846513281,0.11746003018407324,0.23865705833785952,0.7149453242225792,0.26333995079268624,-0.08339558200125712,0.7733333333333333,38.294679768902526
71,original,48,0.12798550883290538,0.12464914051180241,0.17599414801062685,0.708337102091759,0.26113247210090607,-0.08339558200125691,0.7733333333333333,36.856274949822485
