rebalance_date,hold_end,period_return,n_stocks
2020-02-28,2020-03-31,-0.2150022704895759,10
2020-03-31,2020-04-30,-0.0726513554284531,10
2020-04-30,2020-05-29,0.025864220269917703,10
2020-05-29,2020-06-30,0.08298907134680039,9
2020-06-30,2020-07-31,3.1586871834625585,10
2020-07-31,2020-08-31,-0.15282194108773958,10
2020-08-31,2020-09-30,-0.073187771172071,9
2020-09-30,2020-10-30,0.09125321402630886,10
2020-10-30,2020-11-30,0.02491327769505486,10
2020-11-30,2020-12-31,0.1130074180643637,10
2020-12-31,2021-01-29,-0.22354408458451253,10
2021-01-29,2021-02-26,-0.11245644092059082,10
2021-02-26,2021-03-31,-0.07011876342597174,9
2021-03-31,2021-04-30,0.02067494028758261,10
2021-04-30,2021-05-31,0.2611539620507027,10
2021-05-31,2021-06-30,0.15066093901313476,10
2021-06-30,2021-07-30,0.05078799051870053,10
2021-07-30,2021-08-31,0.7310729283296066,10
2021-08-31,2021-09-30,0.15739402331508368,10
2021-09-30,2021-10-29,0.1363595288010734,10
2021-10-29,2021-11-30,-0.01635437609462832,10
2021-11-30,2021-12-31,0.11371991218900838,10
2021-12-31,2022-01-28,-0.22946282729914375,10
2022-01-28,2022-02-28,0.006007349622633229,10
2022-02-28,2022-03-31,-0.0752110520224104,10
2022-03-31,2022-04-29,-0.17459829493676718,10
2022-04-29,2022-05-31,0.20163991603677597,10
2022-05-31,2022-06-30,-0.039173967670762054,9
2022-06-30,2022-07-29,0.07174769181210618,10
2022-07-29,2022-08-31,-0.2453741656461271,10
2022-08-31,2022-09-30,-0.2602355614268951,10
2022-09-30,2022-10-31,-0.0927380315856591,10
2022-10-31,2022-11-30,-0.026304975197497294,10
2022-11-30,2022-12-30,-0.07584302597978784,10
2022-12-30,2023-01-31,-0.17341825015676132,10
2023-01-31,2023-02-28,-0.06752699852023795,10
2023-02-28,2023-03-31,0.12617807202200013,10
2023-03-31,2023-04-28,0.35344190779671186,10
2023-04-28,2023-05-31,-0.010773272009276191,10
2023-05-31,2023-06-30,-0.029783493093845915,10
2023-06-30,2023-07-31,-0.2421517630424482,10
2023-07-31,2023-08-31,-0.08300914486990953,10
2023-08-31,2023-09-28,-0.0958882026161996,10
2023-09-28,2023-10-31,0.020991103774007536,10
2023-10-31,2023-11-30,0.000502095408483405,10
2023-11-30,2023-12-29,-0.05703036168167871,10
2023-12-29,2024-01-31,-0.3778372769302794,10
2024-01-31,2024-02-29,-0.06561866087412979,10
2024-02-29,2024-03-29,-0.0421638352795114,10
2024-03-29,2024-04-30,0.06066097088014377,10
2024-04-30,2024-05-31,-0.014523967107730407,10
2024-05-31,2024-06-28,-0.17200996310571287,10
2024-06-28,2024-07-31,-0.023039024772518978,10
2024-07-31,2024-08-30,-0.026751203361927756,10
