feature,importance
volume_ratio,0.13553262493953863
volatility_20,0.12157822246601403
volume_mean_20,0.10114949204042628
momentum_60,0.1000489353777796
momentum_5,0.07483488073604164
momentum_20,0.05706240591047801
rsi_14,0.0559057588451636
volatility_20_lag5,0.04781655234911748
momentum_20_lag5,0.04744718621783404
volume_ratio_lag1,0.03767026206459092
volume_mean_20_lag5,0.030823605550470642
volatility_20_lag1,0.02938401320592303
momentum_60_lag1,0.027912391462325076
volume_mean_20_lag1,0.027524448004586848
rsi_14_lag5,0.02403460379526385
momentum_5_lag5,0.016920971686872673
momentum_60_lag5,0.01592149979945756
momentum_20_lag1,0.014205670635047662
volume_ratio_lag5,0.01377167709887505
momentum_5_lag1,0.010364300831131679
rsi_14_lag1,0.01009049698306163
