date,portfolio_value
20200123,1158687.4909679908
20200228,1436375.4297126029
20200331,1019111.665122338
20200430,1001919.740411505
20200529,1082982.1354432257
20200630,1292952.5039444342
20200731,3621235.185121977
20200831,2821873.525204189
20200930,2502805.414149407
20201030,2377290.395670742
20201130,2325444.070261016
20201231,2348743.0487034046
20210129,1808987.6712222248
20210226,1644472.076162531
20210331,1904504.9294182388
20210430,1920641.9224887409
20210531,2125373.839811143
20210630,2495685.559709995
20210730,2573922.8058336442
20210831,2730955.1125676767
20210930,3293770.503495931
20211029,3791198.7076169983
20211130,3692002.638045145
20211231,4115018.3877991466
20220128,3248002.6592037883
20220228,3335883.009475289
20220331,3496057.166546029
20220429,2880698.082705177
20220531,3261418.444866844
20220630,2936956.422762727
20220729,3193377.2297389614
20220831,2136173.688236689
20220930,1649462.1055877127
20221031,1475015.222206455
20221130,1460868.7872085131
20221230,1279037.7054816624
20230131,1055538.0347778134
20230228,916042.8499469903
20230331,1063354.89008457
20230428,1340428.7849269104
20230531,1219582.4071493447
20230630,1207533.8980897488
20230731,976261.5113193289
20230831,915996.2906853921
20230928,1177481.1885410314
20231031,1106613.483099573
20231130,1105462.5879300768
20231229,1034553.8002611904
20240131,652679.2355346864
20240229,662506.7271947883
20240329,683152.9158949961
20240430,747188.6018110116
20240531,697246.0179765304
20240628,635997.8582540109
20240731,616244.1540444759
20240830,589124.0187156561
20240930,616273.3093253868
20241031,777123.0191058863
20241129,580696.7359469582
20241231,462585.686719169
20250127,490821.36607880064
20250228,523840.92388942407
20250331,460843.42235250137
20250430,403232.1278082222
20250530,437627.5089546221
20250630,446374.00953589316
20250731,459036.3179361338
20250829,509991.76414457796
20250930,467772.84059664153
20251031,502661.5656580304
20251128,575596.0391302535
20251231,637107.9947394081
20260130,654284.5574341571
20260227,611656.8233469618
20260313,600939.3715271665
