date,portfolio_value
20200123,1037378.4271730491
20200228,1914561.1898365829
20200331,1914561.1898365829
20200430,1935907.572945296
20200529,2060033.650158709
20200630,2234835.347731637
20200731,3261096.423133849
20200831,3462032.859870884
20200930,3503056.5361833875
20201030,3478367.948006951
20201130,4296583.900283996
20201231,5648971.183194493
20210129,5730884.209758567
20210226,5960144.983434202
20210331,7149356.404948444
20210430,10471117.261303458
20210531,11499927.210939841
20210630,11582555.428982193
20210730,13642910.533830326
20210831,26573207.17560666
20210930,26430356.743456908
20211029,26602982.15714146
20211130,27160240.36578162
20211231,28099825.588144414
20220128,28081830.01395284
20220228,28649064.178052437
20220331,28452450.82068671
20220429,28465485.78804184
20220531,28944016.55044639
20220630,29590713.333338268
20220729,29925398.883416895
20220831,29679870.61295319
20220930,29784680.562210407
20221031,29517167.337405857
20221130,31200488.43998423
20221230,30837701.864994306
20230131,31382564.705597453
20230228,31235279.070036378
20230331,32031503.200500462
20230428,32298467.969769478
20230531,31985088.070856538
20230630,33310876.259142566
20230731,35883390.296071246
20230831,35730258.57463888
20230928,35199560.93828995
20231031,35251671.830851726
20231130,35642950.966513015
20231229,35375633.35479968
20240131,35342183.42701703
20240229,37872115.479270786
20240329,38266531.58742565
20240430,35998745.981892616
20240531,36270930.50418199
20240628,36735863.07201016
20240731,39150803.01093579
20240830,38757676.42273757
20240930,43523149.69384848
20241031,44423452.43437677
20241129,45336435.33422275
20241231,45252613.64220745
20250127,45840128.15729022
20250228,46163128.94457969
20250331,45452079.680805594
20250430,43943670.098480515
20250530,45132741.59914337
20250630,44962641.291490965
20250731,45014156.52701159
20250829,46658523.27267278
20250930,47244651.236046925
20251031,47528361.68306023
20251128,47434981.01004808
20251231,47800953.488006234
20260130,45415438.6713548
20260227,46395073.39203813
20260313,46056364.17906704
