month,return,n_stocks
202001,-0.06277653833805799,3
202002,0.42047150104446446,1
202003,-0.18179823427137673,4
202007,-0.017122493539539454,2
202008,-0.07586017611135729,6
202009,-0.11504117081672349,4
202010,-0.05005817791951503,3
202011,0.17538234160758173,2
202012,-0.0024032504268978426,4
202101,0.08104813201948706,8
202102,-0.06514734529638457,6
202103,-0.13172755507010284,3
202105,-0.06783236803606973,2
202106,-0.09386601662744087,2
202107,-0.04757935176481532,5
202108,0.04367614567063184,10
202109,-0.10731131328427489,10
202110,-0.09257527585561989,1
202111,0.003315419097036549,5
202112,-0.1345747744288732,1
202201,-0.1708608191834004,2
202202,-0.0463587242385119,1
202203,-0.08384428574863546,1
202204,0.030515617409737062,1
202205,-0.020078193510669414,1
202207,-0.11000326750820567,3
202210,-0.27034400654778146,1
202212,-0.015602129950058795,2
202302,-0.018439573935429027,1
202304,-0.08829141370338242,1
202305,-0.13212604752611648,2
202306,-0.13863476425052784,1
202308,-0.09925803792250612,1
202311,0.006348266760088665,1
202312,-0.00928519873261309,1
202401,-0.05073827033806519,1
202403,-0.057873959199236706,4
202404,-0.07366671610431401,4
202405,-0.04780912553810973,2
202406,0.007088208820882198,1
202410,-0.06383556698560239,10
202411,-0.13360982367860855,10
202412,0.005860340296714982,5
202501,-0.013615572268367867,6
202502,0.023660188806611415,5
202503,-0.114332131935343,2
202504,-0.04223913363164643,2
202505,-0.09252605737429849,2
202506,0.017518248175182497,1
202507,0.21149938358873388,2
202508,0.24773413897280958,1
202509,0.09234492062748573,10
202510,-0.09177074396149146,10
202511,-0.003661843480358512,10
202512,0.056242532028467275,10
202601,0.15985690759408064,10
202602,0.10318248044180821,10
202603,0.012204234513113022,10
