date,portfolio_value
20200123,1000180.2100541275
20200228,1050258.2621235847
20200331,814357.647952944
20200430,840889.0489369374
20200529,794503.8575020187
20200630,889552.7220657769
20200731,973541.4326017279
20200831,921374.704422607
20200930,837418.6209789864
20201030,863698.7976375694
20201130,928826.7733918093
20201231,880000.0288420204
20210129,806894.9988169916
20210226,806340.6710454935
20210331,756525.757770584
20210430,717166.5327856691
20210531,833571.8745219341
20210630,811508.3826264518
20210730,820971.9473770373
20210831,927495.4225582221
20210930,885970.1740884678
20211029,864717.7034571418
20211130,832722.933120952
20211231,814580.8200401936
20220128,727401.1261501025
20220228,716326.9857500611
20220331,624753.8653482312
20220429,534838.9341251111
20220531,512822.8238720261
20220630,564187.8391736919
20220729,557803.2708134042
20220831,449461.97141608666
20220930,403122.4100848717
20221031,347210.9509562058
20221130,331165.29268058034
20221230,292951.0995859264
20230131,297684.9381587945
20230228,290566.7427144093
20230331,310598.0868010151
20230428,299032.9427499747
20230531,265402.7897471796
20230630,282695.41670440737
20230731,263036.48288360966
20230831,237888.98167488872
20230928,234490.4105939882
20231031,230387.53006386897
20231130,233744.8262067388
20231229,214992.8646331954
20240131,180038.55658247066
20240229,192488.1275824391
20240329,179268.6102037897
20240430,180145.62433217993
20240531,162568.23799772272
20240628,161601.66308740532
20240731,160884.2974056641
20240830,150120.1814330661
20240930,155514.6957038471
20241031,156192.6034736624
20241129,123912.398762474
20241231,105885.7914629335
20250127,102868.9703041372
20250228,125580.42621700247
20250331,112711.05820785696
20250430,103253.29814253707
20250530,96079.49601835641
20250630,100114.90194737414
20250731,96173.36419860115
20250829,114025.05334370141
20250930,117390.89421928581
20251031,107382.7774570913
20251128,114890.79926978126
20251231,118266.00478927272
20260130,128143.36575413051
20260227,139763.307575874
20260313,139737.82199796647
